"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","25%","75%","IQR"
"CODIGOCONVOCATORIA",1,332212,730469.637641024,131703.915596537,725735,728734.832189487,176337.4788,431034,984410,553376,0.0955743724587795,-1.22391242713976,228.502538414406,609020.75,845748.5,236727.75
"N_COD_CONTRATO",2,332212,1894911.66990657,378868.047798004,2073045.5,1937658.06121082,123469.4454,1202987,2234099,1031112,-1.03252785945622,-0.806903246308688,657.325260633564,1299388.75,2153873.25,854484.5
"FECHA_PUBLICACION_CONTRATO",3,332212,44440.2186848199,986.003991195863,44445.3813541666,44457.35722031,609.60512068752,-1,45297.9283680556,45298.9283680556,-33.3343051214617,1500.26184891038,1.71068881175249,44061,44880.738605324,819.738605324048
"FECHA_SUSCRIPCION_CONTRATO",4,332212,44434.0890681252,505.079041982085,44421,44434.1601575924,621.2094,41172,47352,6180,0.0338344136395825,-1.19364309189238,0.876297737011682,44008.2083333333,44865,856.791666666701
"FECHA_VIGENCIA_INICIAL",5,332212,44438.2025521981,506.040895279967,44427,44438.4825974997,621.2094,39948,53038,13090,0.0448905951265444,-0.914595115966888,0.87796652505912,44015,44869,854
"FECHA_VIGENCIA_FINAL",6,332212,44620.7062740308,549.238193138866,44566,44616.2250424866,584.1444,18563.2083333333,62593,44029.7916666667,0.07272954446184,22.770102586683,0.952912605201791,44196,45039,843
"FECHA_VIGENCIA_FIN_ACTUALIZADA",7,332077,44632.1019030727,1241.40092732572,44587,44627.3016875076,597.4878,18563,685950,667387,415.191807895113,214487.658599895,2.15423296314306,44196,45061,865
"MONTO_CONTRATADO_TOTAL",8,332212,985724.702514117,7978317.31555552,128967.94,223985.823831659,125380.427844,0,1792432242.98,1792432242.98,69.7783143574235,10539.704740482,13842.1530644908,61200,352588.75,291388.75
"MONTO_CONTRATADO_ITEM",9,332211,848236.964974881,7418254.64542189,110000,191696.380516238,108997.7868,0,1792432242.98,1792432242.98,79.8101530118892,13599.7659575647,12870.4796712286,54797.25,305477.415,250680.165
"MONTO_ADICIONAL",10,114866,33202.0859038358,499851.667112668,0,990.425230482949,0,0,91959915.18,91959915.18,113.480019679348,18207.3877225776,1474.8416577529,0,0,0
"MONTO_REDUCCION",11,105222,8750.92707399593,106068.597692925,0,0,0,0,10059792,10059792,39.8411528500324,2313.11247391067,326.989307106344,0,0,0
"MONTO_PRORROGA",12,97816,1000.47109889998,41779.5569488192,0,0,0,0,6960000,6960000,112.649944312543,16723.3998965288,133.585364742027,0,0,0
"MONTO_COMPLEMENTARIO",13,97370,553.06764157338,26274.3486318327,0,0,0,0,5635755.9,5635755.9,137.429355263973,24860.5081585887,84.201411775358,0,0,0
"NUM_ITEM",14,332212,14.6097732773049,244.073038421831,1,1.41394815065658,0,1,123456,123455,420.766679471744,202672.341226129,0.423459762644839,1,1,0
